"customer_id","geographic_location","loyalty_card","email_news","fav_category","gender","income_level"
11260,"H",0,1,"N","F",3
11413,"H",1,0,"M","F",3
11440,"H",0,1,"N","F",1
11478,"I",0,0,"Q","M",1
11567,"H",1,0,"Q","F",1
11602,"G",0,0,"L","F",2
11615,"I",0,1,"P","M",2
11654,"D",0,0,"M","M",1
11716,"F",0,1,"L","M",3
11756,"J",0,0,"O","M",2
11831,"A",0,0,"L","F",3
11858,"I",1,0,"N","F",3
11908,"E",0,1,"P","F",1
11939,"I",0,0,"M","M",1
11945,"H",0,0,"Q","M",1
11952,"D",0,1,"O","F",2
12050,"D",0,1,"M","F",3
12080,"H",0,1,"Q","F",2
12099,"D",0,1,"O","M",3
12132,"B",0,0,"O","M",1
12231,"E",0,1,"M","F",2
12305,"D",0,0,"O","M",1
12365,"H",0,1,"P","F",2
12374,"E",0,1,"M","F",2
12382,"E",0,0,"Q","F",1
12397,"J",0,0,"M","F",2
12438,"E",0,1,"M","M",1
12577,"J",0,0,"O","M",1
12644,"H",0,1,"P","M",1
12673,"B",0,0,"P","M",2
12685,"G",0,0,"P","F",2
12694,"B",0,0,"P","F",2
12738,"I",1,0,"N","F",1
12803,"H",0,1,"M","F",1
12874,"B",0,0,"O","M",3
12892,"A",0,0,"O","F",3
12953,"A",0,1,"O","M",1
12969,"J",0,0,"M","F",2
13106,"E",0,1,"Q","M",2
13127,"H",0,0,"L","F",2
13316,"I",0,0,"Q","F",2
13340,"I",0,0,"L","M",2
13375,"I",0,0,"L","M",3
13390,"C",0,0,"P","M",1
13394,"A",1,0,"Q","F",1
13406,"H",0,0,"O","F",2
13462,"I",0,1,"O","M",2
13579,"C",0,1,"L","F",3
13641,"I",0,0,"O","F",2
13645,"A",0,0,"M","M",2
13697,"B",0,1,"M","M",1
13755,"D",0,0,"L","M",2
13794,"D",0,0,"M","F",2
13845,"G",0,1,"M","F",3
13940,"C",0,0,"O","F",1
13950,"F",0,0,"L","F",1
13977,"A",0,1,"P","M",1
13996,"A",0,0,"Q","M",2
14003,"G",0,1,"O","M",3
14006,"A",0,0,"P","F",1
14076,"I",0,1,"M","M",2
14080,"H",0,0,"Q","F",3
14197,"E",0,0,"M","M",3
14204,"C",0,0,"N","F",3
14220,"F",0,0,"M","F",3
14255,"J",0,0,"Q","M",1
14290,"E",0,1,"N","M",3
14291,"C",0,0,"O","M",3
14314,"C",0,0,"Q","F",2
14321,"D",0,1,"N","F",1
14485,"F",0,0,"P","F",1
14498,"D",0,0,"N","M",3
14589,"B",0,1,"L","F",3
14682,"B",0,0,"N","F",1
14750,"D",0,0,"N","F",3
14755,"J",0,0,"M","F",1
14920,"E",0,0,"N","M",1
14924,"G",0,0,"Q","M",2
14999,"A",1,0,"Q","M",3
15007,"G",0,0,"Q","F",3
15009,"G",0,1,"Q","F",2
15017,"B",0,1,"N","F",3
15041,"A",0,0,"L","M",3
15067,"H",0,0,"Q","M",3
15113,"C",0,1,"L","M",3
15149,"H",0,1,"P","F",2
15156,"C",0,0,"M","M",2
15175,"C",0,1,"Q","M",3
15370,"D",0,0,"L","M",2
15417,"B",0,0,"N","M",2
15580,"G",1,0,"P","M",1
15624,"G",0,1,"N","M",1
15646,"C",0,1,"L","F",2
15744,"D",1,1,"M","F",3
15747,"B",0,1,"P","M",1
15759,"A",0,0,"M","M",2
15791,"J",0,0,"Q","F",2
15795,"J",0,0,"N","F",2
15836,"I",0,0,"M","M",2
15845,"C",1,0,"O","F",1
15899,"B",0,0,"O","M",2
15951,"H",0,1,"O","F",2
15958,"A",0,0,"M","M",2
16012,"F",0,0,"P","M",2
16036,"F",0,0,"L","M",3
16076,"B",0,0,"L","M",2
16094,"B",0,0,"P","F",3
16134,"I",0,1,"N","F",3
16162,"F",0,1,"N","F",1
16307,"A",0,0,"Q","F",2
16383,"F",0,0,"P","F",3
16466,"H",0,0,"P","F",2
16555,"A",0,1,"P","F",2
16604,"I",1,0,"L","F",1
16626,"J",1,0,"M","F",3
16655,"I",1,0,"Q","M",2
16682,"B",0,0,"O","M",2
16691,"E",0,1,"M","M",3
16772,"A",1,1,"N","F",1
16773,"I",0,1,"M","F",3
16840,"B",0,0,"L","M",1
16894,"H",0,0,"Q","M",2
16959,"D",0,1,"L","F",1
17131,"B",1,0,"M","M",3
17235,"B",0,1,"Q","F",3
17268,"D",0,0,"Q","M",1
17348,"A",0,0,"N","M",3
17394,"G",0,0,"L","F",2
17405,"C",0,0,"M","M",3
17427,"C",0,1,"P","F",3
17521,"A",0,0,"O","F",3
17560,"A",0,1,"O","F",2
17597,"C",0,1,"N","F",2
17660,"J",0,0,"P","M",1
17720,"A",0,0,"P","F",3
17734,"H",0,1,"M","M",3
17831,"D",0,0,"O","F",3
17837,"D",0,1,"M","M",2
17848,"G",1,1,"M","F",1
17850,"H",1,1,"Q","F",1
17869,"B",0,1,"L","M",3
17887,"J",0,0,"N","M",2
17989,"E",0,0,"P","F",1
18011,"C",0,0,"M","F",1
18042,"C",1,0,"O","M",1
18052,"H",0,0,"M","M",1
18109,"F",0,0,"Q","M",3
18113,"G",0,1,"Q","M",3
18151,"C",0,0,"P","F",2
18166,"J",0,0,"L","F",2
18192,"A",0,0,"M","F",1
18290,"C",0,0,"N","M",1
18388,"D",0,0,"M","M",2
18505,"G",0,0,"M","M",1
18537,"E",0,0,"M","F",1
18642,"J",0,0,"L","M",2
18740,"I",0,0,"M","F",2
18741,"G",0,1,"Q","F",1
18801,"D",0,0,"O","F",1
18854,"D",0,1,"P","F",2
18863,"H",0,0,"N","M",1
18882,"C",0,0,"O","M",3
18937,"G",0,1,"Q","M",2
18939,"H",0,0,"N","F",2
18944,"D",0,0,"P","F",1
18990,"J",0,0,"N","F",2
19048,"C",0,0,"O","M",2
19120,"I",0,1,"M","M",3
19135,"F",0,0,"N","M",3
19174,"I",0,1,"M","F",2
19223,"B",1,0,"P","F",3
19227,"I",0,0,"Q","M",2
19281,"J",0,0,"L","F",3
19371,"H",0,0,"O","M",1
19398,"H",0,0,"L","M",1
19399,"I",0,0,"Q","M",3
19409,"I",0,1,"L","M",1
19478,"E",0,0,"N","M",3
19579,"C",1,0,"L","M",1
19621,"H",0,0,"Q","M",3
19703,"A",0,0,"O","F",2
19859,"D",0,0,"Q","M",3
19909,"C",0,0,"L","F",1
19976,"I",1,1,"P","F",2
20008,"E",0,0,"N","F",2
20029,"D",0,0,"N","F",2
20037,"A",0,0,"Q","M",3
20103,"I",0,0,"N","M",1
20219,"D",0,0,"P","M",2
20273,"F",1,0,"M","M",1
20280,"G",0,0,"O","M",2
20362,"H",0,0,"Q","M",2
20385,"B",0,0,"Q","F",3
20402,"G",0,0,"L","M",1
20423,"E",1,0,"N","M",3
20440,"H",1,0,"M","M",1
20495,"B",0,1,"L","F",1
20570,"G",0,0,"M","M",3
20594,"F",0,0,"N","F",3
20608,"B",0,0,"Q","M",2
20627,"A",0,0,"P","F",2
20756,"E",0,0,"N","F",3
20783,"A",0,0,"P","M",3
20803,"E",0,0,"N","F",3
20821,"H",0,0,"O","F",1
20855,"D",0,0,"N","F",1
20868,"I",1,0,"M","M",3
20908,"E",0,0,"O","F",2
20920,"A",0,0,"Q","F",3
21013,"G",0,0,"O","M",3
21065,"H",0,0,"M","F",2
21110,"J",0,0,"P","M",2
21128,"H",0,1,"N","M",3
21258,"A",0,1,"L","M",1
21268,"J",1,0,"M","M",2
21340,"A",0,1,"N","F",1
21368,"J",0,0,"Q","M",1
21385,"C",0,0,"L","M",3
21436,"A",0,0,"P","M",2
21543,"J",0,0,"N","M",2
21560,"E",0,1,"M","M",3
21628,"I",1,0,"L","F",1
21813,"D",0,0,"M","M",1
21954,"F",0,1,"L","M",3
22065,"E",0,0,"O","F",2
22071,"A",0,0,"Q","F",1
22075,"D",0,0,"O","M",2
22175,"I",0,1,"O","F",3
22197,"I",0,0,"M","F",2
22233,"B",0,0,"N","F",1
22315,"D",1,0,"L","M",3
22326,"C",0,0,"N","M",1
22366,"F",1,1,"P","M",3
22371,"D",0,0,"P","M",1
22416,"D",0,0,"N","M",1
22457,"J",0,0,"N","M",1
22494,"H",0,1,"P","F",2
22500,"I",0,0,"P","F",3
22547,"H",0,0,"Q","M",1
22634,"I",0,1,"N","M",2
22675,"B",0,0,"N","F",2
22701,"B",0,0,"Q","M",2
22725,"F",0,0,"Q","M",3
22790,"C",0,0,"P","F",2
22820,"E",0,0,"O","F",1
22952,"B",0,0,"Q","F",2
23057,"B",0,0,"P","M",1
23189,"H",0,0,"Q","M",1
23381,"C",0,1,"Q","M",1
23391,"C",0,1,"L","F",3
23421,"J",1,0,"O","F",3
23488,"G",0,1,"N","M",2
23587,"J",0,0,"O","F",2
23613,"J",0,0,"P","F",2
23779,"A",0,0,"O","F",1
23892,"H",0,0,"L","F",1
23997,"G",0,0,"L","F",3
24218,"B",0,0,"O","M",1
24291,"D",0,0,"L","M",2
24345,"G",0,0,"L","F",2
24405,"G",0,1,"P","M",3
24437,"J",0,1,"L","F",3
24485,"E",0,0,"N","M",2
24558,"F",0,1,"M","F",2
24579,"C",0,0,"M","M",1
24603,"C",0,0,"M","F",3
24624,"A",0,0,"N","F",2
24774,"J",0,1,"Q","F",2
24795,"D",0,1,"O","M",3
25005,"C",0,0,"L","F",3
25030,"B",0,0,"Q","M",2
25079,"A",0,0,"M","M",3
25083,"D",0,1,"O","M",2
25090,"B",0,1,"M","M",2
25132,"F",0,0,"Q","M",3
25135,"G",0,1,"P","F",2
25218,"A",0,0,"P","F",1
25284,"G",0,0,"O","M",1
25356,"A",0,1,"O","M",3
25399,"J",1,0,"L","M",3
25418,"E",0,0,"P","F",1
25462,"B",0,1,"O","F",3
25514,"D",0,0,"Q","F",1
25706,"I",0,0,"O","M",2
25750,"A",0,0,"Q","F",2
25818,"G",1,1,"O","F",3
25829,"B",0,0,"N","M",3
25835,"B",0,0,"L","F",3
25932,"G",0,0,"M","M",1
25978,"B",0,0,"O","M",2
25989,"H",1,0,"P","M",2
26030,"C",0,1,"P","F",3
26064,"I",0,0,"Q","M",2
26092,"H",1,1,"P","M",3
26214,"F",0,0,"M","F",1
26216,"F",0,1,"Q","M",2
26395,"A",0,0,"O","F",1
26397,"C",0,0,"M","F",2
26398,"A",0,0,"Q","F",2
26422,"H",0,0,"P","M",3
26547,"F",0,0,"O","F",1
26557,"C",0,0,"O","M",2
26601,"F",0,0,"L","M",3
26610,"F",0,0,"L","F",3
26752,"I",1,0,"Q","F",3
26794,"B",0,0,"P","M",3
26835,"B",0,0,"Q","M",2
26886,"J",0,1,"N","M",2
26984,"E",0,1,"P","F",1
27073,"I",0,0,"P","F",1
27086,"H",0,1,"M","F",2
27191,"E",0,0,"O","M",3
27282,"C",0,0,"O","M",3
27330,"F",0,1,"M","F",2
27382,"G",0,1,"N","F",1
27451,"C",0,0,"Q","M",3
27456,"C",0,0,"O","F",1
27471,"C",0,0,"Q","M",3
27487,"I",0,0,"N","M",2
27556,"B",0,1,"L","F",1
27581,"G",0,0,"P","M",2
27647,"G",0,0,"M","M",1
27653,"B",0,0,"Q","F",3
27659,"G",0,1,"L","M",3
27675,"F",0,0,"P","M",2
27677,"F",0,1,"P","M",2
27682,"E",0,0,"N","M",1
27714,"A",0,0,"O","F",3
27798,"F",1,0,"M","F",3
27840,"F",0,0,"O","M",1
27858,"A",0,0,"O","M",1
27998,"G",1,1,"N","F",2
28030,"J",0,1,"L","F",2
28064,"B",0,0,"N","F",1
28106,"B",0,0,"L","M",2
28119,"A",0,1,"L","F",1
28204,"I",0,0,"O","M",2
28272,"D",0,0,"M","M",1
28285,"I",0,1,"O","F",1
28322,"F",0,0,"Q","M",2
28326,"C",0,0,"M","M",1
28349,"B",0,0,"N","F",1
28388,"F",0,0,"Q","M",3
28410,"I",0,0,"N","F",3
28420,"B",0,1,"Q","F",2
28517,"D",0,0,"N","M",3
28539,"I",0,1,"P","M",3
28563,"B",0,0,"L","F",3
28633,"H",0,1,"O","M",3
28726,"C",0,0,"Q","M",3
28778,"J",1,1,"O","F",3
28815,"A",0,0,"M","F",3
28840,"C",0,0,"L","M",1
28860,"H",0,0,"N","F",2
29062,"C",0,0,"Q","F",3
29132,"B",0,0,"P","F",2
29142,"B",0,1,"Q","M",1
29211,"A",0,0,"O","F",2
29223,"F",1,0,"M","F",3
29233,"C",0,0,"N","M",1
29275,"J",0,0,"P","M",1
29286,"B",0,0,"L","F",1
29384,"J",0,1,"N","F",2
29522,"H",0,1,"M","M",2
29535,"B",0,0,"P","M",1
29552,"I",0,1,"O","F",1
29564,"F",0,0,"M","F",2
29578,"H",0,1,"P","M",3
29630,"C",0,1,"O","F",2
29655,"G",0,0,"O","M",1
29694,"I",0,1,"N","M",3
29819,"D",0,0,"M","M",3
29904,"A",0,0,"L","F",3
29931,"A",0,0,"L","M",2
29938,"F",0,0,"M","F",1
29955,"E",0,0,"N","F",3
29965,"E",0,0,"Q","M",1
29995,"A",1,1,"L","M",2
30075,"F",0,0,"Q","M",3
30084,"D",1,0,"O","F",2
30124,"D",0,1,"Q","M",3
30142,"G",0,0,"P","F",2
30187,"B",0,0,"P","F",2
30215,"H",0,0,"N","M",1
30239,"C",0,0,"Q","F",3
30251,"D",0,0,"L","M",1
30283,"C",0,1,"M","M",2
30296,"E",0,1,"N","F",2
30344,"I",0,0,"O","F",2
30415,"I",0,0,"N","F",3
30455,"B",1,1,"P","M",3
30457,"G",0,0,"O","F",3
30479,"G",0,0,"L","M",3
30498,"D",0,0,"L","M",2
30546,"E",0,1,"P","F",1
30608,"B",0,0,"L","M",2
30649,"F",0,0,"L","F",2
30735,"J",0,1,"P","M",3
30821,"J",0,0,"L","M",3
30832,"B",0,0,"Q","M",2
30858,"C",0,1,"M","M",3
30864,"E",0,1,"O","F",3
30896,"I",0,1,"N","F",1
30994,"E",1,1,"L","M",3
31006,"F",0,0,"N","M",1
31030,"F",0,0,"L","F",3
31085,"F",0,0,"Q","M",1
31112,"H",0,0,"N","M",2
31124,"G",0,0,"O","F",3
31187,"G",0,0,"N","M",2
31355,"J",0,0,"L","M",1
31419,"H",0,0,"O","F",2
31533,"D",0,0,"M","F",1
31598,"B",0,0,"M","F",3
31611,"F",0,1,"P","F",2
31629,"I",0,0,"P","M",1
31690,"A",0,0,"L","M",1
31714,"J",0,1,"P","M",3
31827,"J",1,0,"O","F",1
31830,"C",0,0,"Q","F",3
31835,"G",0,0,"L","M",1
31885,"I",0,0,"O","F",2
31975,"I",0,1,"O","M",1
31981,"I",0,0,"M","F",3
32027,"D",0,0,"Q","F",1
32104,"D",0,0,"Q","M",1
32127,"F",0,0,"M","M",2
32130,"E",0,0,"N","M",1
32339,"H",0,0,"P","F",3
32364,"F",0,1,"M","M",2
32405,"I",1,1,"P","M",1
32578,"A",0,1,"O","F",2
32610,"J",0,1,"N","M",2
32650,"C",0,0,"N","M",1
32685,"J",0,0,"O","F",2
32702,"A",0,0,"M","F",2
32741,"G",0,0,"P","M",3
32748,"A",0,0,"N","F",3
32758,"G",0,0,"N","M",3
32808,"B",0,0,"M","F",1
32829,"F",0,1,"P","F",2
32846,"B",0,0,"Q","M",2
32944,"H",0,0,"Q","M",1
32953,"J",0,0,"N","F",1
32956,"B",0,0,"L","M",2
32973,"J",0,0,"P","M",2
33015,"A",0,0,"Q","M",3
33049,"J",0,0,"N","M",3
33101,"G",0,1,"P","F",3
33247,"F",0,1,"P","F",3
33302,"F",0,0,"M","F",2
33360,"B",0,0,"Q","M",3
33427,"C",0,1,"O","M",1
33450,"C",1,0,"N","F",1
33463,"H",0,0,"M","F",1
33624,"D",0,0,"O","M",2
33633,"B",0,1,"O","M",2
33703,"I",1,1,"L","M",2
33710,"H",0,0,"M","F",2
33777,"G",0,0,"N","F",2
33787,"H",0,1,"L","F",3
33794,"A",1,0,"O","M",3
33915,"E",0,0,"L","F",3
33954,"B",1,0,"L","M",1
33972,"A",0,0,"L","M",2
33981,"C",0,1,"Q","F",1
34006,"D",0,0,"O","M",1
34026,"A",0,0,"N","F",3
34059,"A",0,0,"M","F",1
34077,"B",0,0,"L","F",3
34179,"G",0,0,"P","F",2
34181,"E",0,0,"O","M",3
34218,"E",0,1,"Q","F",1
34294,"I",0,0,"N","M",1
34304,"F",0,1,"M","F",3
34409,"E",0,1,"Q","F",1
34522,"A",0,1,"N","F",2
34580,"E",0,0,"M","F",1
34593,"A",0,0,"M","F",1
34647,"C",0,0,"M","F",3
34752,"D",1,1,"Q","F",2
34757,"A",0,0,"O","F",3
34783,"E",0,0,"P","F",1
34908,"F",0,0,"P","F",1
35041,"C",0,1,"O","F",2
35066,"I",1,0,"Q","M",3
35089,"J",0,1,"N","F",1
35100,"H",0,0,"N","M",1
35126,"E",0,0,"L","F",2
35190,"A",0,0,"Q","F",3
35212,"F",0,0,"O","F",2
35476,"I",0,0,"P","M",3
35526,"E",1,0,"O","M",3
35554,"G",0,0,"L","M",1
35575,"F",0,1,"O","F",1
35587,"F",0,0,"L","M",1
35631,"A",0,1,"P","M",2
35688,"E",0,0,"M","F",1
35742,"A",0,1,"N","F",1
35790,"A",0,1,"L","F",2
35792,"F",0,1,"L","M",2
35930,"F",1,1,"M","F",3
35963,"E",0,0,"N","F",2
35969,"H",0,1,"M","M",3
36049,"E",0,0,"L","M",2
36072,"E",0,0,"O","M",1
36081,"H",0,1,"L","F",3
36175,"H",0,0,"Q","F",2
36214,"B",0,1,"N","F",1
36337,"J",0,0,"O","M",3
36340,"A",0,0,"O","M",2
36402,"H",0,0,"P","F",1
36438,"A",0,1,"Q","M",3
36517,"F",0,1,"Q","F",3
36582,"C",0,0,"Q","M",3
36640,"E",0,0,"P","F",3
36780,"J",0,0,"O","M",2
36934,"A",0,0,"M","M",1
37015,"I",0,1,"Q","M",3
37150,"D",0,0,"Q","M",3
37151,"J",0,0,"O","M",2
37284,"A",0,0,"Q","M",1
37289,"J",0,0,"M","F",3
37306,"D",0,1,"N","F",3
37307,"I",0,0,"O","F",3
37334,"F",1,0,"L","M",2
37463,"D",0,0,"N","F",1
37606,"J",0,0,"Q","F",1
37774,"F",0,0,"P","M",2
37867,"B",0,0,"L","M",1
38079,"I",1,0,"O","M",3
38083,"F",0,0,"L","F",3
38120,"C",0,0,"N","F",2
38121,"C",0,0,"N","F",3
38176,"F",0,0,"Q","F",3
38181,"E",1,0,"M","F",1
38264,"A",0,0,"Q","M",2
38370,"E",0,0,"N","F",3
38412,"G",0,1,"P","F",2
38420,"A",0,0,"Q","M",3
38428,"D",0,1,"M","F",1
38457,"C",0,0,"P","F",1
38486,"C",0,0,"N","F",2
38487,"G",0,0,"P","F",3
38496,"H",0,0,"L","F",3
38507,"I",0,0,"O","M",2
38547,"F",0,0,"Q","M",1
38569,"F",0,0,"Q","F",2
38591,"G",0,0,"N","F",2
38606,"D",1,0,"P","F",2
38620,"A",1,0,"Q","F",3
38623,"E",0,0,"P","F",1
38629,"G",0,1,"Q","M",2
38667,"J",0,0,"Q","M",3
38695,"E",0,0,"O","F",2
38722,"H",0,0,"M","M",2
38749,"G",0,1,"O","F",1
39040,"G",0,0,"P","M",3
39086,"F",0,0,"O","M",3
39147,"B",0,0,"M","M",3
39196,"E",0,0,"N","M",2
39215,"H",0,1,"L","M",2
39221,"G",0,0,"L","F",2
39274,"F",0,1,"M","M",1
39359,"E",0,0,"N","F",3
39372,"D",0,1,"L","M",2
39486,"H",0,1,"P","M",1
39498,"B",0,0,"O","F",1
39594,"E",0,0,"O","F",3
39638,"D",1,0,"P","M",3
39656,"F",0,0,"M","M",2
39668,"H",0,0,"P","M",3
39669,"J",0,0,"L","M",1
39679,"A",0,0,"M","F",3
39735,"A",0,0,"Q","M",2
39863,"E",0,0,"N","F",3
40003,"I",0,0,"N","F",2
40080,"A",0,1,"O","F",3
40096,"J",0,0,"M","F",1
40128,"A",0,0,"N","M",3
40255,"G",0,0,"N","M",3
40281,"H",0,1,"O","F",3
40299,"C",0,0,"M","F",3
40444,"G",1,1,"N","F",2
40477,"F",0,0,"Q","F",1
